timestamp,fitness_discipline,title,duration,instructor,calories,distance
2021-01-04 17:53:34+00:00,running,30 min HIIT Run,1800,Robin Arzón,310,3.27
2021-01-03 01:38:39+00:00,circuit,45 min Bootcamp: Core,2700,Chase Tucker,265,2.4
2021-01-01 21:55:59+00:00,walking,10 min Warm Up Walk,600,Selena Samuela,33,0.34
2021-01-01 20:34:43+00:00,running,45 min Hip Hop Run,2700,Adrian Williams,467,4.93
2021-01-01 07:10:50+00:00,walking,20 min Power Walk,1200,Selena Samuela,61,0.65
2020-12-31 19:35:09+00:00,running,30 min HIIT Run,1800,Adrian Williams,313,3.31
2020-12-30 20:29:07+00:00,running,20 min Intervals Run,1200,Selena Samuela,219,2.32
2020-12-29 18:48:52+00:00,running,45 min Endurance Run,2700,Selena Samuela,502,5.05
2020-12-28 00:02:28+00:00,running,30 min EDM Run,1800,Chase Tucker,326,3.45
2020-12-18 18:08:08+00:00,running,30 min Intervals Run,1800,Chase Tucker,318,3.36
2020-12-18 00:49:04+00:00,circuit,30 min Bootcamp: Full Body,1800,Chase Tucker,197,1.84
2020-12-16 16:26:50+00:00,running,30 min Intervals Run,1800,Chase Tucker,316,3.34
2020-12-15 17:50:01+00:00,cycling,20 min Afrobeats Ride,1200,Tunde Oyeneyin,107,4.54
2020-12-14 17:08:09+00:00,cycling,30 min Intervals & Arms Ride,1800,Ben Alldis,110,4.88
2020-12-12 17:25:13+00:00,running,30 min 2010s Hip Hop Run,1800,Chase Tucker,311,3.17
2020-12-11 16:28:09+00:00,running,30 min Progression Run,1800,Selena Samuela,312,3.3
2020-12-10 20:06:04+00:00,running,30 min HIIT Run,1800,Chase Tucker,303,3.21
2020-12-06 16:55:52+00:00,cycling,30 min Intervals & Arms Ride,1800,Robin Arzón,136,6.01
2020-12-05 19:26:04+00:00,cycling,30 min Intervals & Arms Ride,1800,Tunde Oyeneyin,125,5.69
2020-12-02 22:22:20+00:00,cycling,30 min Hip Hop Ride,1800,Tunde Oyeneyin,151,6.58
2020-11-28 17:50:48+00:00,running,30 min HIIT Run,1800,Becs Gentry,274,2.89
2020-11-26 18:33:33+00:00,running,73 min 26 sec Just Run,4406,JUST RIDE,615,6.23
2020-11-25 18:39:01+00:00,running,30 min HIIT Run,1800,Robin Arzón,314,3.16
2020-11-24 01:09:33+00:00,running,30 min HIIT Run,1800,Chase Tucker,300,3.15
2020-11-22 22:20:10+00:00,running,20 min HIIT Run,1200,Selena Samuela,211,2.08
2020-11-21 01:54:35+00:00,running,20 min 2010s Run,1200,Chase Tucker,213,2.23
2020-11-19 22:20:55+00:00,running,37 min 54 sec Just Run,2274,JUST RIDE,293,3.09
2020-11-18 16:57:40+00:00,running,37 min Just Run,2220,JUST RIDE,286,3.02
2020-11-15 00:51:37+00:00,running,10 min Extra Mile,600,Selena Samuela,102,1.08
2020-11-13 18:29:01+00:00,running,30 min HIIT Run,1800,Chase Tucker,298,3.13
2020-11-11 22:16:37+00:00,running,48 min 29 sec Just Run,2909,JUST RIDE,389,4.1
2020-11-07 22:42:25+00:00,running,71 min 6 sec Just Run,4266,JUST RIDE,288,3.04
2020-11-06 20:40:07+00:00,running,37 min 50 sec Just Run,2270,JUST RIDE,292,3.09
2020-11-04 22:37:49+00:00,running,18 min 8 sec Just Run,1088,JUST RIDE,197,2.08
2020-11-04 05:30:25+00:00,walking,45 min Walk + Run,2700,Andy Speer,8,0.08
2020-11-03 16:36:27+00:00,running,38 min 3 sec Just Run,2283,JUST RIDE,296,3.12
2020-11-03 00:28:24+00:00,running,33 min 11 sec Just Run,1991,JUST RIDE,70,0.74
2020-11-02 00:31:31+00:00,running,34 min Just Run,2040,JUST RIDE,254,2.68
2020-10-23 23:37:04+00:00,running,37 min 31 sec Just Run,2251,JUST RIDE,291,3.08
2020-10-22 19:18:11+00:00,running,37 min 14 sec Just Run,2234,JUST RIDE,287,3.03
2020-10-05 01:25:30+00:00,cycling,30 min HIIT Ride,1800,Robin Arzón,172,6.9
2020-10-01 15:15:24+00:00,running,38 min 14 sec Just Run,2294,JUST RIDE,297,3.13
2020-09-29 23:34:48+00:00,running,38 min 42 sec Just Run,2322,JUST RIDE,298,3.15
2020-09-28 17:47:44+00:00,running,56 min 29 sec Just Run,3389,JUST RIDE,476,5.03
2020-09-26 19:22:47+00:00,running,29 min 50 sec Just Run,1790,JUST RIDE,310,3.27
2020-09-26 00:23:55+00:00,running,49 min 1 sec Just Run,2941,JUST RIDE,342,3.62
2020-09-22 02:31:53+00:00,running,10 min Extra Mile,600,Chase Tucker,103,1.09
2020-09-20 19:59:04+00:00,running,20 min HIIT Run,1200,Chase Tucker,192,1.97
2020-09-18 16:05:40+00:00,running,45 min EDM Run,2700,Matt Wilpers,430,4.54
2020-09-16 23:29:33+00:00,running,38 min 19 sec Just Run,2299,JUST RIDE,224,2.36
2020-09-15 15:52:57+00:00,running,30 min Progression Run,1800,Selena Samuela,292,3.08
2020-09-09 19:57:41+00:00,running,49 min 35 sec Just Run,2975,JUST RIDE,394,4.16
2020-09-08 15:16:51+00:00,running,40 min 27 sec Just Run,2427,JUST RIDE,298,3.15
2020-09-03 23:50:25+00:00,running,30 min 39 sec Just Run,1839,JUST RIDE,318,3.36
2020-09-01 15:49:59+00:00,running,30 min HIIT Run,1800,Adrian Williams,299,2.84
2020-08-30 01:57:16+00:00,running,30 min The Weeknd Run,1800,Chase Tucker,319,3.37
2020-08-28 16:07:19+00:00,running,46 min 2 sec Just Run,2762,JUST RIDE,342,3.62
